Name,Size,Time
10pctWrites,131072,186316
WriteOnly,262144,267925
ReadOnly,262144,167244
EvenReadsWrites,262144,367478
10pctReads,262144,363301
10pctWrites,262144,352801
WriteOnly,524288,536023
ReadOnly,524288,364933
EvenReadsWrites,524288,707055
10pctReads,524288,714605
10pctWrites,524288,700703
WriteOnly,1024,721
ReadOnly,1024,476
EvenReadsWrites,1024,1116
10pctReads,1024,1274
10pctWrites,1024,1055
WriteOnly,2048,1564
ReadOnly,2048,807
EvenReadsWrites,2048,3279
10pctReads,2048,2132
10pctWrites,2048,2427
WriteOnly,4096,4931
ReadOnly,4096,1837
EvenReadsWrites,4096,5151
10pctReads,4096,6413
10pctWrites,4096,7917
WriteOnly,8192,7133
ReadOnly,8192,4483
EvenReadsWrites,8192,9935
10pctReads,8192,15852
10pctWrites,8192,13687
WriteOnly,16384,15386
ReadOnly,16384,8943
EvenReadsWrites,16384,34700
10pctReads,16384,25538
10pctWrites,16384,28416
WriteOnly,32768,34424
ReadOnly,32768,20552
EvenReadsWrites,32768,58630
10pctReads,32768,51369
10pctWrites,32768,55997
WriteOnly,65536,64925
ReadOnly,65536,40531
EvenReadsWrites,65536,111377
10pctReads,65536,98661
10pctWrites,65536,96391
WriteOnly,131072,130313
ReadOnly,131072,81418
EvenReadsWrites,131072,200787
10pctReads,131072,176578
10pctWrites,131072,181321
WriteOnly,262144,272440
ReadOnly,262144,167165
EvenReadsWrites,262144,361398
10pctReads,262144,378597
10pctWrites,262144,365229
WriteOnly,524288,541158
ReadOnly,524288,353707
EvenReadsWrites,524288,746527
10pctReads,524288,719382
10pctWrites,524288,712658
WriteOnly,1024,759
ReadOnly,1024,435
EvenReadsWrites,1024,959
10pctReads,1024,1538
10pctWrites,1024,1039
WriteOnly,2048,1764
ReadOnly,2048,1153
EvenReadsWrites,2048,3047
10pctReads,2048,2254
10pctWrites,2048,3185
WriteOnly,4096,3227
ReadOnly,4096,1834
EvenReadsWrites,4096,6046
10pctReads,4096,4797
10pctWrites,4096,4794
WriteOnly,8192,7044
ReadOnly,8192,4105
EvenReadsWrites,8192,11502
10pctReads,8192,11853
10pctWrites,8192,14956
WriteOnly,16384,13535
ReadOnly,16384,10199
EvenReadsWrites,16384,30576
10pctReads,16384,31081
10pctWrites,16384,34034
WriteOnly,32768,31517
ReadOnly,32768,18814
EvenReadsWrites,32768,59066
10pctReads,32768,59507
10pctWrites,32768,63967
WriteOnly,65536,68642
ReadOnly,65536,43678
EvenReadsWrites,65536,106577
10pctReads,65536,97909
10pctWrites,65536,97043
WriteOnly,131072,128663
ReadOnly,131072,80720
EvenReadsWrites,131072,183794
10pctReads,131072,185213
10pctWrites,131072,178548
WriteOnly,262144,262033
ReadOnly,262144,165953
EvenReadsWrites,262144,368096
10pctReads,262144,347070
10pctWrites,262144,364210
WriteOnly,524288,547328
ReadOnly,524288,343474
EvenReadsWrites,524288,714945
10pctReads,524288,741195
10pctWrites,524288,719980
WriteOnly,1024,745
ReadOnly,1024,396
EvenReadsWrites,1024,1475
10pctReads,1024,1062
10pctWrites,1024,1141
WriteOnly,2048,1412
ReadOnly,2048,883
EvenReadsWrites,2048,2071
10pctReads,2048,3101
10pctWrites,2048,3258
WriteOnly,4096,4600
ReadOnly,4096,1858
EvenReadsWrites,4096,4931
10pctReads,4096,6770
10pctWrites,4096,4826
WriteOnly,8192,6702
ReadOnly,8192,4486
EvenReadsWrites,8192,11826
10pctReads,8192,14633
10pctWrites,8192,12596
WriteOnly,16384,19199
ReadOnly,16384,11419
EvenReadsWrites,16384,31272
10pctReads,16384,34114
10pctWrites,16384,29474
WriteOnly,32768,33766
ReadOnly,32768,19542
EvenReadsWrites,32768,59158
10pctReads,32768,58201
10pctWrites,32768,54167
WriteOnly,65536,62981
ReadOnly,65536,38980
EvenReadsWrites,65536,111477
10pctReads,65536,101013
10pctWrites,65536,90959
WriteOnly,131072,137320
ReadOnly,131072,83281
EvenReadsWrites,131072,197857
10pctReads,131072,184967
10pctWrites,131072,188376
WriteOnly,262144,257931
ReadOnly,262144,168459
EvenReadsWrites,262144,377838
10pctReads,262144,362751
10pctWrites,262144,354147
WriteOnly,524288,554982
ReadOnly,524288,350289
EvenReadsWrites,524288,729787
10pctReads,524288,718097
10pctWrites,524288,711694
WriteOnly,1024,716
ReadOnly,1024,480
EvenReadsWrites,1024,1083
10pctReads,1024,1216
10pctWrites,1024,1067
WriteOnly,2048,1506
ReadOnly,2048,828
EvenReadsWrites,2048,2170
10pctReads,2048,2191
10pctWrites,2048,2176
WriteOnly,4096,3370
ReadOnly,4096,1731
EvenReadsWrites,4096,6723
10pctReads,4096,5358
10pctWrites,4096,6254
WriteOnly,8192,6838
ReadOnly,8192,4051
EvenReadsWrites,8192,11943
10pctReads,8192,12628
10pctWrites,8192,14160
WriteOnly,16384,18459
ReadOnly,16384,9377
EvenReadsWrites,16384,28450
10pctReads,16384,27552
10pctWrites,16384,33473
WriteOnly,32768,34283
ReadOnly,32768,19684
EvenReadsWrites,32768,58779
10pctReads,32768,56793
10pctWrites,32768,52692
WriteOnly,65536,67817
ReadOnly,65536,42200
EvenReadsWrites,65536,114940
10pctReads,65536,95980
10pctWrites,65536,95985
WriteOnly,131072,131211
ReadOnly,131072,90111
EvenReadsWrites,131072,191962
10pctReads,131072,173414
10pctWrites,131072,183087
WriteOnly,262144,279729
ReadOnly,262144,172647
EvenReadsWrites,262144,357012
10pctReads,262144,367436
10pctWrites,262144,361131
WriteOnly,524288,543926
ReadOnly,524288,360872
EvenReadsWrites,524288,719914
10pctReads,524288,731474
10pctWrites,524288,731066
WriteOnly,1024,833
ReadOnly,1024,679
EvenReadsWrites,1024,1401
10pctReads,1024,1235
10pctWrites,1024,1028
WriteOnly,2048,1329
ReadOnly,2048,1124
EvenReadsWrites,2048,1984
10pctReads,2048,1997
10pctWrites,2048,2222
WriteOnly,4096,3749
ReadOnly,4096,1786
EvenReadsWrites,4096,5094
10pctReads,4096,5569
10pctWrites,4096,7629
WriteOnly,8192,9899
ReadOnly,8192,5552
EvenReadsWrites,8192,13060
10pctReads,8192,10663
10pctWrites,8192,11657
WriteOnly,16384,16306
ReadOnly,16384,10602
EvenReadsWrites,16384,25098
10pctReads,16384,28126
10pctWrites,16384,27416
WriteOnly,32768,29926
ReadOnly,32768,20318
EvenReadsWrites,32768,64922
10pctReads,32768,58512
10pctWrites,32768,53600
WriteOnly,65536,69972
ReadOnly,65536,44673
EvenReadsWrites,65536,99464
10pctReads,65536,80658
10pctWrites,65536,102543
WriteOnly,131072,136375
ReadOnly,131072,80001
EvenReadsWrites,131072,188044
10pctReads,131072,187526
10pctWrites,131072,174300
WriteOnly,262144,278340
ReadOnly,262144,179747
EvenReadsWrites,262144,362788
10pctReads,262144,361382
10pctWrites,262144,350301
WriteOnly,524288,545901
ReadOnly,524288,338487
EvenReadsWrites,524288,699886
10pctReads,524288,722375
10pctWrites,524288,717286
WriteOnly,1024,737
ReadOnly,1024,398
EvenReadsWrites,1024,868
10pctReads,1024,979
10pctWrites,1024,1605
WriteOnly,2048,1354
ReadOnly,2048,971
EvenReadsWrites,2048,2810
10pctReads,2048,3058
10pctWrites,2048,2396
WriteOnly,4096,3317
ReadOnly,4096,1785
EvenReadsWrites,4096,6284
10pctReads,4096,5951
10pctWrites,4096,6298
WriteOnly,8192,6991
ReadOnly,8192,5164
EvenReadsWrites,8192,15063
10pctReads,8192,23894
10pctWrites,8192,13975
WriteOnly,16384,16222
ReadOnly,16384,8249
EvenReadsWrites,16384,30031
10pctReads,16384,28646
10pctWrites,16384,32436
WriteOnly,32768,33656
ReadOnly,32768,18966
EvenReadsWrites,32768,59223
10pctReads,32768,58076
10pctWrites,32768,54836
WriteOnly,65536,75699
ReadOnly,65536,42615
EvenReadsWrites,65536,112669
10pctReads,65536,103592
10pctWrites,65536,100117
WriteOnly,131072,125256
ReadOnly,131072,81975
EvenReadsWrites,131072,185815
10pctReads,131072,190524
10pctWrites,131072,180916
WriteOnly,262144,267256
ReadOnly,262144,171151
EvenReadsWrites,262144,366243
10pctReads,262144,365112
10pctWrites,262144,361985
WriteOnly,524288,577482
ReadOnly,524288,354794
EvenReadsWrites,524288,725454
10pctReads,524288,739978
10pctWrites,524288,709366
WriteOnly,1024,715
ReadOnly,1024,367
EvenReadsWrites,1024,1517
10pctReads,1024,995
10pctWrites,1024,1345
WriteOnly,2048,2543
ReadOnly,2048,1048
EvenReadsWrites,2048,2456
10pctReads,2048,2233
10pctWrites,2048,4157
WriteOnly,4096,4170
ReadOnly,4096,2023
EvenReadsWrites,4096,4605
10pctReads,4096,4923
10pctWrites,4096,5585
WriteOnly,8192,6333
ReadOnly,8192,5469
EvenReadsWrites,8192,12022
10pctReads,8192,11880
10pctWrites,8192,14092
WriteOnly,16384,15682
ReadOnly,16384,9016
EvenReadsWrites,16384,30620
10pctReads,16384,29879
10pctWrites,16384,27965
WriteOnly,32768,31631
ReadOnly,32768,21242
EvenReadsWrites,32768,62867
10pctReads,32768,56113
10pctWrites,32768,51856
WriteOnly,65536,69635
ReadOnly,65536,44316
