Name,Size,Time
ReadOnly,524288,353555
EvenReadsWrites,524288,732138
10pctReads,524288,731046
10pctWrites,524288,716312
WriteOnly,1024,764
ReadOnly,1024,420
EvenReadsWrites,1024,1053
10pctReads,1024,1228
10pctWrites,1024,1730
WriteOnly,2048,1736
ReadOnly,2048,961
EvenReadsWrites,2048,2546
10pctReads,2048,2278
10pctWrites,2048,2254
WriteOnly,4096,3931
ReadOnly,4096,2287
EvenReadsWrites,4096,5420
10pctReads,4096,5353
10pctWrites,4096,6625
WriteOnly,8192,6386
ReadOnly,8192,4128
EvenReadsWrites,8192,12541
10pctReads,8192,19397
10pctWrites,8192,13087
WriteOnly,16384,15725
ReadOnly,16384,11040
EvenReadsWrites,16384,28306
10pctReads,16384,26020
10pctWrites,16384,31599
WriteOnly,32768,31368
ReadOnly,32768,22230
EvenReadsWrites,32768,59395
10pctReads,32768,56015
10pctWrites,32768,57462
WriteOnly,65536,65344
ReadOnly,65536,40625
EvenReadsWrites,65536,108964
10pctReads,65536,96835
10pctWrites,65536,97437
WriteOnly,131072,132906
ReadOnly,131072,91050
EvenReadsWrites,131072,192711
10pctReads,131072,181646
10pctWrites,131072,190104
WriteOnly,262144,271870
ReadOnly,262144,181148
EvenReadsWrites,262144,356798
10pctReads,262144,371882
10pctWrites,262144,358726
WriteOnly,524288,551270
ReadOnly,524288,357122
EvenReadsWrites,524288,728713
10pctReads,524288,706889
10pctWrites,524288,729894
